"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2102","User login with wrong email or password","LMS system","Sat Nov 29 19:21:37 UTC 2025","passed","Sat Nov 29 19:21:39 UTC 2025","Authorization","Authentication","",""
"","1788","User login with wrong email or password","LMS system","Sat Nov 29 19:21:28 UTC 2025","passed","Sat Nov 29 19:21:30 UTC 2025","Authorization","Authentication","",""
"","3076","Check displaying of dashboard page","LMS system","Sat Nov 29 19:21:14 UTC 2025","passed","Sat Nov 29 19:21:17 UTC 2025","Authorization","Authentication","",""
"","2661","Registration with correct email, username and password","LMS system","Sat Nov 29 19:21:44 UTC 2025","passed","Sat Nov 29 19:21:47 UTC 2025","Registration","Authentication","",""
"","1286","User login with wrong email or password","LMS system","Sat Nov 29 19:21:18 UTC 2025","passed","Sat Nov 29 19:21:19 UTC 2025","Authorization","Authentication","",""
"","2036","Registration with correct email, username and password","LMS system","Sat Nov 29 19:21:43 UTC 2025","passed","Sat Nov 29 19:21:45 UTC 2025","Registration","Authentication","",""
"","1665","User login with wrong email or password","LMS system","Sat Nov 29 19:21:23 UTC 2025","passed","Sat Nov 29 19:21:25 UTC 2025","Authorization","Authentication","",""
"","1901","User login with wrong email or password","LMS system","Sat Nov 29 19:21:26 UTC 2025","passed","Sat Nov 29 19:21:28 UTC 2025","Authorization","Authentication","",""
"","1401","Navigation from login page to registration page","LMS system","Sat Nov 29 19:21:40 UTC 2025","passed","Sat Nov 29 19:21:41 UTC 2025","Authorization","Authentication","",""
"","1596","User login with wrong email or password","LMS system","Sat Nov 29 19:21:16 UTC 2025","passed","Sat Nov 29 19:21:18 UTC 2025","Authorization","Authentication","",""
"","1748","User login with wrong email or password","LMS system","Sat Nov 29 19:21:14 UTC 2025","passed","Sat Nov 29 19:21:16 UTC 2025","Authorization","Authentication","",""
"","1312","Navigation from login page to registration page","LMS system","Sat Nov 29 19:21:41 UTC 2025","passed","Sat Nov 29 19:21:43 UTC 2025","Authorization","Authentication","",""
"","2495","Create course","LMS system","Sat Nov 29 19:21:58 UTC 2025","passed","Sat Nov 29 19:22:01 UTC 2025","Courses","Courses","",""
"","2206","User login with wrong email or password","LMS system","Sat Nov 29 19:21:32 UTC 2025","passed","Sat Nov 29 19:21:34 UTC 2025","Authorization","Authentication","",""
"","3701","Edit course","LMS system","Sat Nov 29 19:21:57 UTC 2025","passed","Sat Nov 29 19:22:01 UTC 2025","Courses","Courses","",""
"","5795","Check displaying of dashboard page","LMS system","Sat Nov 29 19:21:23 UTC 2025","passed","Sat Nov 29 19:21:29 UTC 2025","Authorization","Authentication","",""
"","2535","User login with correct email and password","LMS system","Sat Nov 29 19:22:11 UTC 2025","passed","Sat Nov 29 19:22:13 UTC 2025","Dashboard","Dashboard","",""
"","1778","User login with correct email and password","LMS system","Sat Nov 29 19:22:07 UTC 2025","passed","Sat Nov 29 19:22:09 UTC 2025","Dashboard","Dashboard","",""
"","3519","Edit course","LMS system","Sat Nov 29 19:21:50 UTC 2025","passed","Sat Nov 29 19:21:54 UTC 2025","Courses","Courses","",""
"","1993","User login with correct email and password","LMS system","Sat Nov 29 19:22:11 UTC 2025","passed","Sat Nov 29 19:22:13 UTC 2025","Dashboard","Dashboard","",""
"","4791","Edit course","LMS system","Sat Nov 29 19:21:50 UTC 2025","passed","Sat Nov 29 19:21:55 UTC 2025","Courses","Courses","",""
"","3451","Check displaying of dashboard page","LMS system","Sat Nov 29 19:21:31 UTC 2025","passed","Sat Nov 29 19:21:34 UTC 2025","Authorization","Authentication","",""
"","2873","Create course","LMS system","Sat Nov 29 19:22:01 UTC 2025","passed","Sat Nov 29 19:22:04 UTC 2025","Courses","Courses","",""
"","2168","User login with wrong email or password","LMS system","Sat Nov 29 19:21:36 UTC 2025","passed","Sat Nov 29 19:21:38 UTC 2025","Authorization","Authentication","",""
"","1707","Registration with correct email, username and password","LMS system","Sat Nov 29 19:21:46 UTC 2025","passed","Sat Nov 29 19:21:47 UTC 2025","Registration","Authentication","",""
"","2066","Check displaying of empty courses list","LMS system","Sat Nov 29 19:22:04 UTC 2025","passed","Sat Nov 29 19:22:06 UTC 2025","Courses","Courses","",""
"","1344","Check displaying of empty courses list","LMS system","Sat Nov 29 19:21:56 UTC 2025","passed","Sat Nov 29 19:21:58 UTC 2025","Courses","Courses","",""
"","2136","Navigation from login page to registration page","LMS system","Sat Nov 29 19:21:40 UTC 2025","passed","Sat Nov 29 19:21:42 UTC 2025","Authorization","Authentication","",""
"","3240","Create course","LMS system","Sat Nov 29 19:22:06 UTC 2025","passed","Sat Nov 29 19:22:10 UTC 2025","Courses","Courses","",""
"","1598","Check displaying of empty courses list","LMS system","Sat Nov 29 19:21:54 UTC 2025","passed","Sat Nov 29 19:21:56 UTC 2025","Courses","Courses","",""
