"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1639","User login with wrong email or password","LMS system","Tue Dec 09 11:46:58 UTC 2025","passed","Tue Dec 09 11:46:59 UTC 2025","Authorization","Authentication","",""
"","1790","User login with wrong email or password","LMS system","Tue Dec 09 11:47:03 UTC 2025","passed","Tue Dec 09 11:47:05 UTC 2025","Authorization","Authentication","",""
"","1406","Check displaying of empty courses list","LMS system","Tue Dec 09 11:47:38 UTC 2025","passed","Tue Dec 09 11:47:39 UTC 2025","Courses","Courses","",""
"","2549","Registration with correct email, username and password","LMS system","Tue Dec 09 11:47:25 UTC 2025","passed","Tue Dec 09 11:47:28 UTC 2025","Registration","Authentication","",""
"","1871","Check displaying of empty courses list","LMS system","Tue Dec 09 11:47:41 UTC 2025","passed","Tue Dec 09 11:47:43 UTC 2025","Courses","Courses","",""
"","1578","User login with wrong email or password","LMS system","Tue Dec 09 11:47:09 UTC 2025","passed","Tue Dec 09 11:47:10 UTC 2025","Authorization","Authentication","",""
"","3781","Edit course","LMS system","Tue Dec 09 11:47:36 UTC 2025","passed","Tue Dec 09 11:47:40 UTC 2025","Courses","Courses","",""
"","3017","Check displaying of dashboard page","LMS system","Tue Dec 09 11:46:55 UTC 2025","passed","Tue Dec 09 11:46:59 UTC 2025","Authorization","Authentication","",""
"","2968","Edit course","LMS system","Tue Dec 09 11:47:30 UTC 2025","passed","Tue Dec 09 11:47:33 UTC 2025","Courses","Courses","",""
"","2024","User login with wrong email or password","LMS system","Tue Dec 09 11:47:16 UTC 2025","passed","Tue Dec 09 11:47:18 UTC 2025","Authorization","Authentication","",""
"","1676","User login with wrong email or password","LMS system","Tue Dec 09 11:46:55 UTC 2025","passed","Tue Dec 09 11:46:57 UTC 2025","Authorization","Authentication","",""
"","3500","Check displaying of dashboard page","LMS system","Tue Dec 09 11:47:10 UTC 2025","passed","Tue Dec 09 11:47:14 UTC 2025","Authorization","Authentication","",""
"","2621","Create course","LMS system","Tue Dec 09 11:47:43 UTC 2025","passed","Tue Dec 09 11:47:46 UTC 2025","Courses","Courses","",""
"","1737","User login with correct email and password","LMS system","Tue Dec 09 11:47:47 UTC 2025","passed","Tue Dec 09 11:47:49 UTC 2025","Dashboard","Dashboard","",""
"","1938","Navigation from login page to registration page","LMS system","Tue Dec 09 11:47:20 UTC 2025","passed","Tue Dec 09 11:47:22 UTC 2025","Authorization","Authentication","",""
"","3393","Create course","LMS system","Tue Dec 09 11:47:48 UTC 2025","passed","Tue Dec 09 11:47:51 UTC 2025","Courses","Courses","",""
"","1859","Registration with correct email, username and password","LMS system","Tue Dec 09 11:47:25 UTC 2025","passed","Tue Dec 09 11:47:27 UTC 2025","Registration","Authentication","",""
"","1283","User login with wrong email or password","LMS system","Tue Dec 09 11:46:59 UTC 2025","passed","Tue Dec 09 11:47:01 UTC 2025","Authorization","Authentication","",""
"","4414","Edit course","LMS system","Tue Dec 09 11:47:33 UTC 2025","passed","Tue Dec 09 11:47:37 UTC 2025","Courses","Courses","",""
"","1376","Check displaying of empty courses list","LMS system","Tue Dec 09 11:47:41 UTC 2025","passed","Tue Dec 09 11:47:43 UTC 2025","Courses","Courses","",""
"","1917","User login with wrong email or password","LMS system","Tue Dec 09 11:47:06 UTC 2025","passed","Tue Dec 09 11:47:08 UTC 2025","Authorization","Authentication","",""
"","2576","Create course","LMS system","Tue Dec 09 11:47:44 UTC 2025","passed","Tue Dec 09 11:47:47 UTC 2025","Courses","Courses","",""
"","5339","Check displaying of dashboard page","LMS system","Tue Dec 09 11:47:03 UTC 2025","passed","Tue Dec 09 11:47:09 UTC 2025","Authorization","Authentication","",""
"","2217","User login with wrong email or password","LMS system","Tue Dec 09 11:47:12 UTC 2025","passed","Tue Dec 09 11:47:14 UTC 2025","Authorization","Authentication","",""
"","2196","User login with correct email and password","LMS system","Tue Dec 09 11:47:51 UTC 2025","passed","Tue Dec 09 11:47:53 UTC 2025","Dashboard","Dashboard","",""
"","1304","Navigation from login page to registration page","LMS system","Tue Dec 09 11:47:21 UTC 2025","passed","Tue Dec 09 11:47:22 UTC 2025","Authorization","Authentication","",""
"","2794","Registration with correct email, username and password","LMS system","Tue Dec 09 11:47:28 UTC 2025","passed","Tue Dec 09 11:47:31 UTC 2025","Registration","Authentication","",""
"","2215","User login with wrong email or password","LMS system","Tue Dec 09 11:47:16 UTC 2025","passed","Tue Dec 09 11:47:18 UTC 2025","Authorization","Authentication","",""
"","1379","User login with correct email and password","LMS system","Tue Dec 09 11:47:53 UTC 2025","passed","Tue Dec 09 11:47:55 UTC 2025","Dashboard","Dashboard","",""
"","1350","Navigation from login page to registration page","LMS system","Tue Dec 09 11:47:19 UTC 2025","passed","Tue Dec 09 11:47:20 UTC 2025","Authorization","Authentication","",""
