"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2319","User login with wrong email or password","LMS system","Sat Nov 29 16:31:43 UTC 2025","passed","Sat Nov 29 16:31:46 UTC 2025","Authorization","Authentication","",""
"","2874","Create course","LMS system","Sat Nov 29 16:32:13 UTC 2025","passed","Sat Nov 29 16:32:15 UTC 2025","Courses","Courses","",""
"","1365","Check displaying of empty courses list","LMS system","Sat Nov 29 16:32:06 UTC 2025","passed","Sat Nov 29 16:32:07 UTC 2025","Courses","Courses","",""
"","2178","User login with wrong email or password","LMS system","Sat Nov 29 16:31:37 UTC 2025","passed","Sat Nov 29 16:31:39 UTC 2025","Authorization","Authentication","",""
"","1882","Registration with correct email, username and password","LMS system","Sat Nov 29 16:31:57 UTC 2025","passed","Sat Nov 29 16:31:59 UTC 2025","Registration","Authentication","",""
"","1733","User login with wrong email or password","LMS system","Sat Nov 29 16:31:26 UTC 2025","passed","Sat Nov 29 16:31:28 UTC 2025","Authorization","Authentication","",""
"","1246","Check displaying of empty courses list","LMS system","Sat Nov 29 16:32:08 UTC 2025","passed","Sat Nov 29 16:32:09 UTC 2025","Courses","Courses","",""
"","1821","User login with wrong email or password","LMS system","Sat Nov 29 16:31:34 UTC 2025","passed","Sat Nov 29 16:31:36 UTC 2025","Authorization","Authentication","",""
"","2640","Registration with correct email, username and password","LMS system","Sat Nov 29 16:31:56 UTC 2025","passed","Sat Nov 29 16:31:58 UTC 2025","Registration","Authentication","",""
"","1739","User login with correct email and password","LMS system","Sat Nov 29 16:32:22 UTC 2025","passed","Sat Nov 29 16:32:24 UTC 2025","Dashboard","Dashboard","",""
"","2152","Check displaying of empty courses list","LMS system","Sat Nov 29 16:32:14 UTC 2025","passed","Sat Nov 29 16:32:17 UTC 2025","Courses","Courses","",""
"","1363","User login with wrong email or password","LMS system","Sat Nov 29 16:31:30 UTC 2025","passed","Sat Nov 29 16:31:31 UTC 2025","Authorization","Authentication","",""
"","2147","User login with wrong email or password","LMS system","Sat Nov 29 16:31:48 UTC 2025","passed","Sat Nov 29 16:31:50 UTC 2025","Authorization","Authentication","",""
"","2007","Navigation from login page to registration page","LMS system","Sat Nov 29 16:31:52 UTC 2025","passed","Sat Nov 29 16:31:54 UTC 2025","Authorization","Authentication","",""
"","1276","Navigation from login page to registration page","LMS system","Sat Nov 29 16:31:53 UTC 2025","passed","Sat Nov 29 16:31:54 UTC 2025","Authorization","Authentication","",""
"","4230","Edit course","LMS system","Sat Nov 29 16:32:01 UTC 2025","passed","Sat Nov 29 16:32:06 UTC 2025","Courses","Courses","",""
"","3435","Edit course","LMS system","Sat Nov 29 16:32:01 UTC 2025","passed","Sat Nov 29 16:32:05 UTC 2025","Courses","Courses","",""
"","3329","Create course","LMS system","Sat Nov 29 16:32:18 UTC 2025","passed","Sat Nov 29 16:32:21 UTC 2025","Courses","Courses","",""
"","3255","Check displaying of dashboard page","LMS system","Sat Nov 29 16:31:26 UTC 2025","passed","Sat Nov 29 16:31:29 UTC 2025","Authorization","Authentication","",""
"","6786","Check displaying of dashboard page","LMS system","Sat Nov 29 16:31:34 UTC 2025","passed","Sat Nov 29 16:31:41 UTC 2025","Authorization","Authentication","",""
"","3549","Check displaying of dashboard page","LMS system","Sat Nov 29 16:31:43 UTC 2025","passed","Sat Nov 29 16:31:46 UTC 2025","Authorization","Authentication","",""
"","2461","Create course","LMS system","Sat Nov 29 16:32:09 UTC 2025","passed","Sat Nov 29 16:32:12 UTC 2025","Courses","Courses","",""
"","1468","Navigation from login page to registration page","LMS system","Sat Nov 29 16:31:51 UTC 2025","passed","Sat Nov 29 16:31:53 UTC 2025","Authorization","Authentication","",""
"","1997","Registration with correct email, username and password","LMS system","Sat Nov 29 16:31:55 UTC 2025","passed","Sat Nov 29 16:31:57 UTC 2025","Registration","Authentication","",""
"","1718","User login with correct email and password","LMS system","Sat Nov 29 16:32:18 UTC 2025","passed","Sat Nov 29 16:32:19 UTC 2025","Dashboard","Dashboard","",""
"","1885","User login with wrong email or password","LMS system","Sat Nov 29 16:31:28 UTC 2025","passed","Sat Nov 29 16:31:30 UTC 2025","Authorization","Authentication","",""
"","2029","User login with wrong email or password","LMS system","Sat Nov 29 16:31:39 UTC 2025","passed","Sat Nov 29 16:31:41 UTC 2025","Authorization","Authentication","",""
"","2503","User login with correct email and password","LMS system","Sat Nov 29 16:32:21 UTC 2025","passed","Sat Nov 29 16:32:24 UTC 2025","Dashboard","Dashboard","",""
"","2038","User login with wrong email or password","LMS system","Sat Nov 29 16:31:48 UTC 2025","passed","Sat Nov 29 16:31:50 UTC 2025","Authorization","Authentication","",""
"","3762","Edit course","LMS system","Sat Nov 29 16:32:08 UTC 2025","passed","Sat Nov 29 16:32:11 UTC 2025","Courses","Courses","",""
