"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1527","User login with wrong email or password","LMS system","Sat Nov 29 14:22:33 UTC 2025","passed","Sat Nov 29 14:22:35 UTC 2025","Authorization","Authentication","",""
"","3266","Check displaying of dashboard page","LMS system","Sat Nov 29 14:22:50 UTC 2025","passed","Sat Nov 29 14:22:53 UTC 2025","Authorization","Authentication","",""
"","1660","User login with wrong email or password","LMS system","Sat Nov 29 14:22:44 UTC 2025","passed","Sat Nov 29 14:22:46 UTC 2025","Authorization","Authentication","",""
"","5527","Create course","LMS system","Sat Nov 29 14:23:21 UTC 2025","passed","Sat Nov 29 14:23:26 UTC 2025","Courses","Courses","",""
"","3738","Edit course","LMS system","Sat Nov 29 14:23:09 UTC 2025","passed","Sat Nov 29 14:23:13 UTC 2025","Courses","Courses","",""
"","1924","User login with correct email and password","LMS system","Sat Nov 29 14:23:24 UTC 2025","passed","Sat Nov 29 14:23:26 UTC 2025","Dashboard","Dashboard","",""
"","1959","User login with wrong email or password","LMS system","Sat Nov 29 14:22:55 UTC 2025","passed","Sat Nov 29 14:22:57 UTC 2025","Authorization","Authentication","",""
"","1305","Check displaying of empty courses list","LMS system","Sat Nov 29 14:23:16 UTC 2025","passed","Sat Nov 29 14:23:17 UTC 2025","Courses","Courses","",""
"","6280","Check displaying of dashboard page","LMS system","Sat Nov 29 14:22:42 UTC 2025","passed","Sat Nov 29 14:22:48 UTC 2025","Authorization","Authentication","",""
"","2350","Create course","LMS system","Sat Nov 29 14:23:18 UTC 2025","passed","Sat Nov 29 14:23:20 UTC 2025","Courses","Courses","",""
"","1756","Registration with correct email, username and password","LMS system","Sat Nov 29 14:23:02 UTC 2025","passed","Sat Nov 29 14:23:04 UTC 2025","Registration","Authentication","",""
"","2450","Registration with correct email, username and password","LMS system","Sat Nov 29 14:23:04 UTC 2025","passed","Sat Nov 29 14:23:07 UTC 2025","Registration","Authentication","",""
"","3684","Edit course","LMS system","Sat Nov 29 14:23:16 UTC 2025","passed","Sat Nov 29 14:23:19 UTC 2025","Courses","Courses","",""
"","1413","User login with wrong email or password","LMS system","Sat Nov 29 14:22:35 UTC 2025","passed","Sat Nov 29 14:22:36 UTC 2025","Authorization","Authentication","",""
"","1246","Navigation from login page to registration page","LMS system","Sat Nov 29 14:23:00 UTC 2025","passed","Sat Nov 29 14:23:01 UTC 2025","Authorization","Authentication","",""
"","1720","User login with wrong email or password","LMS system","Sat Nov 29 14:22:42 UTC 2025","passed","Sat Nov 29 14:22:44 UTC 2025","Authorization","Authentication","",""
"","1840","Navigation from login page to registration page","LMS system","Sat Nov 29 14:22:59 UTC 2025","passed","Sat Nov 29 14:23:01 UTC 2025","Authorization","Authentication","",""
"","1555","Check displaying of empty courses list","LMS system","Sat Nov 29 14:23:22 UTC 2025","passed","Sat Nov 29 14:23:23 UTC 2025","Courses","Courses","",""
"","2232","User login with wrong email or password","LMS system","Sat Nov 29 14:22:55 UTC 2025","passed","Sat Nov 29 14:22:57 UTC 2025","Authorization","Authentication","",""
"","1766","User login with wrong email or password","LMS system","Sat Nov 29 14:22:47 UTC 2025","passed","Sat Nov 29 14:22:49 UTC 2025","Authorization","Authentication","",""
"","3798","Check displaying of dashboard page","LMS system","Sat Nov 29 14:22:31 UTC 2025","passed","Sat Nov 29 14:22:35 UTC 2025","Authorization","Authentication","",""
"","1634","User login with wrong email or password","LMS system","Sat Nov 29 14:22:31 UTC 2025","passed","Sat Nov 29 14:22:33 UTC 2025","Authorization","Authentication","",""
"","2129","User login with wrong email or password","LMS system","Sat Nov 29 14:22:50 UTC 2025","passed","Sat Nov 29 14:22:53 UTC 2025","Authorization","Authentication","",""
"","3368","Create course","LMS system","Sat Nov 29 14:23:29 UTC 2025","passed","Sat Nov 29 14:23:32 UTC 2025","Courses","Courses","",""
"","2723","Registration with correct email, username and password","LMS system","Sat Nov 29 14:23:04 UTC 2025","passed","Sat Nov 29 14:23:07 UTC 2025","Registration","Authentication","",""
"","2133","User login with correct email and password","LMS system","Sat Nov 29 14:23:31 UTC 2025","passed","Sat Nov 29 14:23:33 UTC 2025","Dashboard","Dashboard","",""
"","1368","Navigation from login page to registration page","LMS system","Sat Nov 29 14:22:58 UTC 2025","passed","Sat Nov 29 14:23:00 UTC 2025","Authorization","Authentication","",""
"","4468","Edit course","LMS system","Sat Nov 29 14:23:09 UTC 2025","passed","Sat Nov 29 14:23:13 UTC 2025","Courses","Courses","",""
"","1344","Check displaying of empty courses list","LMS system","Sat Nov 29 14:23:14 UTC 2025","passed","Sat Nov 29 14:23:15 UTC 2025","Courses","Courses","",""
"","1734","User login with correct email and password","LMS system","Sat Nov 29 14:23:27 UTC 2025","passed","Sat Nov 29 14:23:29 UTC 2025","Dashboard","Dashboard","",""
